scorer,,,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,dispo,dispo,dispo,dispo,dispo,dispo,dispo,dispo,dispo,dispo,dispo,dispo,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,,,nose,nose,lEye,lEye,rEye,rEye,back,back,tail1,tail1,tail2,tail2,nose,nose,lEye,lEye,rEye,rEye,back,back,tail1,tail1,tail2,tail2,extR,extR,extL,extL,extT,extT,extB,extB,intR,intR,intL,intL,intT,intT,intB,intB
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img00312.png,,,,,,,,,,,,,,,,,,,,,,,,,487.5772969541665,207.02300730462423,80.54175176640636,203.77538327387083,285.68333637566315,48.97197114129182,294.3436671243389,413.78840392925775,311.6747748851092,211.48371043398203,262.56012323716885,209.46134242494918,288.85090735459573,191.54894005922978,,
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img01677.png,245.4843333973953,213.41172891709206,240.10542518693381,212.16082003093823,239.7301525210877,215.53827402355358,219.96579211985716,214.28736513739972,196.32361417154976,217.03936468693814,187.69234285708833,216.91427379832277,,,,,,,,,,,,,487.6812278443057,206.90496774710994,83.35203601550678,209.07005043427887,286.86980860938684,25.579292696711462,289.576161968348,412.0465523563667,312.68662688212396,206.99872940081582,265.58086050743066,206.06130121425474,288.5478510781766,188.71887976287513,285.96992356513374,233.24671862452556
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img02490.png,,,,,,,267.9244309738333,208.87358577393792,283.4445203545948,201.3460000583849,297.9401693205684,198.10761039577375,,,,,,,,,,,,,490.300442166988,208.98498134371025,81.09981429205888,204.654815969373,287.7816733754897,35.96111063889055,292.1485776954595,410.2912325541077,313.36075457693084,209.46552380411825,,,285.91433159719946,190.9753020072466,287.35888017508006,235.7563079215451
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img04081.png,296.7139171718636,46.628967638978224,292.8580223324349,41.55542179762466,290.93007491272056,44.396607468782655,277.2315011410659,38.003939708677166,263.7358692030654,45.91867122118873,250.13876634823788,62.96578524813672,,,,,,,,,,,,,501.05746790019435,214.56548890756227,77.78380255866713,203.1988047999253,284.54919918330063,22.955671093111334,292.6682592601842,379.65304380419366,314.4339473103794,207.5115693961949,263.2969276534062,208.37829854292323,286.98752433064806,189.02134759932324,288.1431631929525,237.26927010053518
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img04627.png,272.26425870141804,236.96674636830267,276.64243980295646,232.3383834895335,273.1398949217257,231.0874746033797,281.395893570341,214.20020464030296,283.022075122341,194.8111169049186,283.3973477881871,185.17911848153412,,,,,,,,,,,,,496.0530308734855,209.7455733456033,78.73334292167289,205.41540797126544,285.4987395463064,24.631003592659198,291.452716936021,412.7220752676911,312.47705870034133,208.02571505008532,261.15286548612323,209.19750028328664,288.57263994303423,186.4648667591809,288.10392584975375,238.0234170200393
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img04765.png,224.7563669749155,217.64867886277062,,,232.00733053673886,215.98834035127007,255.40363468568432,215.5221337563091,273.541798265031,208.51704399384766,279.9214335844155,205.63995355569386,,,,,,,,,,,,,507.7682835149408,211.54291804660357,75.29301675294559,204.50639931330454,285.63409977676594,24.326518675567954,291.68883572431,405.77488608813417,313.4352452822526,207.45966690404668,,,286.82052182035216,190.7304121565664,287.01062698793714,238.25670405281727
